precio_crc,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado,cluster_id_hc
9500000,1700.0,SUV 2WD,5.0,Diesel,Automática/Dual,Excelente,64500.0,BLANCO,NEGRO (CUERO),5,San José,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,2.0
9500000,2500.0,SUV 4WD/AWD,7.0,Gasolina,Automática/Dual,Muy Bueno,147067.0,AZUL,NEGRO,4,Cartago,9.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,1.0
9500000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,87000.0,BLANCO,NEGRO,5,San José,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,2.0
9500000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,42626.0,TERRACOTA,NEGRO,5,San José,9.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0
9500000,2500.0,Microbús/Minivan,10.0,Diesel,Manual,Regular,258000.0,BLANCO,NEGRO,3,San José,9.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,1.0
9500000,2500.0,Microbús/Minivan,10.0,Diesel,Manual,Excelente,300000.0,BLANCO,BEIGE,5,San José,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,1.0
9500000,2000.0,SUV 2WD,5.0,Diesel,Automática/Dual,Excelente,108000.0,PLATA,NEGRO,5,Alajuela,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9500000,2400.0,SUV 2WD,7.0,Gasolina,Automática/Dual,Excelente,103448.0,NEGRO,CUERO BEIGE,4,San José,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,1.0
9500000,2000.0,SUV 4WD/AWD,5.0,Diesel,Automática/Dual,Excelente,66000.0,BLANCO,NEGRO,5,Alajuela,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9500000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Excelente,51000.0,BLANCO,GRIS OSCURO,5,San José,9.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0
9500000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,116534.0,ROJO,NEGRO,5,Alajuela,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,2.0
9500000,1500.0,SUV 2WD,5.0,Gasolina,Manual,Excelente,53000.0,GRIS,NEGRO,4,Heredia,9.0,MINI,DESCONOCIDO,DESCONOCIDO,0.0052790999567286,0.0
9600000,2500.0,SUV 4WD/AWD,7.0,Gasolina,Automática/Dual,Excelente,87000.0,NEGRO,NEGRO,5,Heredia,9.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,1.0
9700000,3500.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,91000.0,GRIS,NEGRO,5,San José,9.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0
9750000,2500.0,Camión 1.0-3.5 ton.,6.0,Diesel,Manual,Muy Bueno,84943.0,BLANCO,GRIS,4,Heredia,9.0,KIA,COREA,GENERALISTA,0.0618779749026395,2.0
9500000,2400.0,SUV 4WD/AWD,7.0,Gasolina,Automática/Dual,Excelente,85000.0,GRIS,GRIS OSCURO,4,Heredia,9.0,MITSUBISHI,JAPON,DESCONOCIDO,0.0512332323669407,1.0
9500000,2500.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,113400.0,AZUL OSCURO,BEIGE,4,Heredia,9.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0
9500000,2500.0,Pánel,3.0,Diesel,Manual,Excelente,175000.0,BLANCO,GRIS,5,San José,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9500000,2000.0,SUV 2WD,5.0,Diesel,Automática/Dual,Excelente,122000.0,BLANCO,NEGRO,5,Heredia,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9500000,2000.0,SUV 2WD,5.0,Diesel,Automática/Dual,Excelente,115000.0,NEGRO,NEGRO,5,San José,9.0,BMW,ALEMANIA,PREMIUM,0.0410212029424491,0.0
9500000,2500.0,SUV 2WD,7.0,Gasolina,Automática/Dual,Excelente,95987.0,BLANCO PERLADO,NEGRO,5,San José,9.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,1.0
9600000,2000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,50800.0,GRIS,GRIS,5,San José,9.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0
9691500,1000.0,SUV 2WD,5.0,Gasolina,Manual,Excelente,100500.0,BLANCO,NEGRO,4,San José,9.0,AUDI,ALEMANIA,PREMIUM,0.0217221981826049,0.0
9700000,2000.0,SUV 2WD,5.0,Gasolina,Manual,Excelente,174000.0,PLATA,NEGRO,5,Alajuela,9.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0
9700000,2000.0,SUV 2WD,5.0,Gasolina,Manual,Excelente,170000.0,GRIS PLATA,NEGRO,5,San José,9.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0
9800000,2000.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Excelente,130000.0,VINO,NEGRO,4,Heredia,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9850000,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,118000.0,AZUL,GRIS,5,Heredia,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9850000,2000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,98000.0,AZUL,CUERO NEGRO,4,San José,9.0,MAZDA,JAPON,GENERALISTA,0.0108178277801817,2.0
9890300,2000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,71500.0,GRIS,NEGRO,5,San José,9.0,FORD,USA,GENERALISTA,0.0259627866724361,2.0
9750000,2400.0,SUV 4WD/AWD,5.0,Gasolina,Manual,Excelente,84000.0,GRIS RATON,NEGRO,5,Heredia,9.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0
9800000,1800.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,104000.0,GRIS OSCURO,NEGRO,5,Cartago,9.0,HONDA,JAPON,GENERALISTA,0.0463003028991778,2.0
9800000,2000.0,SUV 4WD/AWD,5.0,Diesel,Automática/Dual,Excelente,91000.0,BLANCO,NEGRO,5,Alajuela,9.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,2.0
9850000,1600.0,Hatchback,5.0,Gasolina,Automática/Dual,Excelente,60800.0,AZUL,NEGRO,4,San José,9.0,MERCEDES,DESCONOCIDO,DESCONOCIDO,0.0253569883167459,0.0
9890300,2000.0,SUV 2WD,5.0,Gasolina,Automática/Dual,Excelente,88000.0,GRIS,NEGRO,4,San José,9.0,MINI,DESCONOCIDO,DESCONOCIDO,0.0052790999567286,0.0
9890300,1984.0,SUV 4WD/AWD,4.0,Gasolina,Automática/Dual,Excelente,65857.0,BLANCO,No indica,4,San José,9.0,AUDI,ALEMANIA,PREMIUM,0.0217221981826049,0.0
9900000,1600.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,94000.0,ROJO,Negro,4,Heredia,9.0,SUZUKI,JAPON,GENERALISTA,0.0688879273041973,2.0
