marca,modelo,precio_crc,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado,cluster_id_hc,cluster
Toyota,PRADO VX,9000000,3000.0,SUV 4WD/AWD,8.0,Diesel,Manual,Excelente,1.0,GRIS,GRIS,5,Cartago,23.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,1.0,Familiares_potentes
Toyota,TACOMA,8500000,2700.0,Pick Up 2WD,5.0,Gasolina,Automática/Dual,Excelente,303821.0,VERDE,Beige,5,Puntarenas,25.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,PRADO VX,8500000,3000.0,SUV 4WD/AWD,8.0,Diesel,Automática/Dual,Muy Bueno,270000.0,GRIS,NEGRO,5,San José,23.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Ford,F350,8500000,5400.0,Pick Up 2WD,2.0,Gasolina,Automática/Dual,Excelente,211.0,BLANCO,BLANCO,2,San José,21.0,FORD,USA,GENERALISTA,0.0259627866724361,0.0,Premium
Nissan,PATROL,8500000,3000.0,SUV 4WD/AWD,7.0,Diesel,Automática/Dual,Excelente,210000.0,PLATEADO,GRIS,5,San José,23.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Nissan,TITAN,8500000,5600.0,Pick Up 2WD,6.0,Híbrido,Automática/Dual,Excelente,225000.0,BLANCO,GRIS,4,Alajuela,21.0,NISSAN,JAPON,GENERALISTA,0.0888792730419731,2.0,Muy_usados_kilometreados
Toyota,LAND CRUISER PRADO,8500000,3000.0,SUV 4WD/AWD,7.0,Diesel,Manual,Excelente,384000.0,GRIS,BEIGE,4,San José,24.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,4RUNNER SR5,8500000,4700.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,193121.0,GRIS,GRIS,5,San José,22.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,4RUNNER,8975000,4000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Excelente,193674.0,PLATEADO,GRIS-NEGRO,5,Guanacaste,21.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,4RUNNER,9000000,4000.0,SUV 4WD/AWD,5.0,Gasolina,Automática/Dual,Muy Bueno,278416.0,BLANCO,GRIS,5,San José,21.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,4RUNNER,9000000,3000.0,SUV 4WD/AWD,5.0,Diesel,Automática/Dual,Muy Bueno,400000.0,GRIS,NEGRO,5,Puntarenas,22.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Toyota,PRADO,9000000,3000.0,SUV 4WD/AWD,7.0,Diesel,Automática/Dual,Excelente,194000.0,BLANCO,BEIGE,5,Alajuela,23.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Chevrolet,SILVERADO,9000000,6000.0,Pick Up 4WD,5.0,Gasolina,Automática/Dual,Excelente,140000.0,AZUL,GRIS,4,Heredia,24.0,CHEVROLET,USA,GENERALISTA,0.0449156209433145,0.0,Premium
Toyota,4RUNNER SR5,9350000,4000.0,SUV 4WD/AWD,7.0,Gasolina,Automática/Dual,Excelente,167371.0,NEGRO,BEIGE,4,San José,22.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Ford,F150,9400000,4500.0,Pick Up 4WD,6.0,Híbrido,Automática/Dual,Excelente,321868.0,BLANCA,GRIS,4,Guanacaste,21.0,FORD,USA,GENERALISTA,0.0259627866724361,0.0,Premium
Toyota,4RUNNER,9500000,3000.0,SUV 4WD/AWD,5.0,Diesel,Automática/Dual,Muy Bueno,216000.0,TAN,PLATA Y NEGRO,5,Puntarenas,21.0,TOYOTA,JAPON,GENERALISTA,0.1648636953699697,2.0,Muy_usados_kilometreados
Hyundai,SUPER STAREX,9500000,2500.0,Microbús/Minivan,10.0,Diesel,Automática/Dual,Excelente,43000.0,GRIS,GRIS,5,Heredia,23.0,HYUNDAI,COREA,GENERALISTA,0.1475551709216789,1.0,Familiares_potentes
