marca,modelo,precio_crc,precio_usd,cilindrada,estilo,pasajeros,combustible,transmision,estado,kilometraje,color_exterior,color_interior,puertas,impuestos_pagados,precio_negociable,recibe_vehiculo,provincia,antiguedad,marca_norm,origen_marca,segmento_marca,participacion_mercado
BMW,320I E90,6500000,13078,2000,Sedán,5,Gasolina,Automática/Dual,Excelente,98300,AZUL,BEIGE,4,SI,SI,NO,Heredia,16,BMW,ALEMANIA,PREMIUM,0.0410212029424492
Honda,CRV,6500000,13078,2400,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,124241,NEGRO,NEGRO,4,SI,SI,SI,Heredia,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Hyundai,TUCSON,6500000,13078,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,79619,BLANCO,CAMEL,4,SI,NO,NO,Alajuela,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Honda,CRV LX,6500000,13078,2400,SUV 2WD,5,Gasolina,Automática/Dual,Excelente,209000,GRIS,NEGRO,5,SI,SI,SI,Heredia,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Hyundai,TUCSON,6500000,13078,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,74000,GRIS,NEGRO,4,SI,SI,NO,Alajuela,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,6500000,13078,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,60570,PLATEADO,NEGRO,4,SI,SI,NO,Alajuela,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Toyota,RAV4,6500000,13078,2500,SUV 2WD,5,Gasolina,Automática/Dual,Excelente,115,GRIS CLARO,GRIS,4,SI,SI,NO,San José,16,TOYOTA,JAPON,GENERALISTA,0.16486369536997
Hyundai,TUCSON,6500000,13078,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,163000,PLATEADO,NEGRO,5,SI,NO,SI,Heredia,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Honda,CRV,6500000,13078,2400,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,160934,NEGRO,NEGRO,4,SI,SI,NO,San José,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
BMW,X5,6500000,13078,3000,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,123000,BLANCO,NEGRO,4,SI,NO,NO,Heredia,16,BMW,ALEMANIA,PREMIUM,0.0410212029424492
Hyundai,TUCSON,6500000,13078,2000,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,228919,DORADO Y NEGRO,NEGRO,5,SI,SI,NO,San José,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Hyundai,TUCSON,6500000,13078,2000,SUV 2WD,5,Diesel,Automática/Dual,Excelente,67000,GRIS,NEGRO,5,SI,SI,NO,San José,16,HYUNDAI,COREA,GENERALISTA,0.147555170921679
Honda,CRV,6600000,13280,2400,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,222089,CAFE,NEGRO,5,SI,SI,NO,Heredia,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
Honda,CRV EX,6600000,13280,2400,SUV 4WD/AWD,5,Gasolina,Automática/Dual,Excelente,129000,CAFE,BEIGE,4,SI,NO,NO,San José,16,HONDA,JAPON,GENERALISTA,0.0463003028991778
